ID,Marque,Type_Vehicule,Age_Vehicule,Valeur_Vehicule_DT,Kilometrage,Chevaux_Fiscaux,Place_Parking,Voiture_Entreprise,Age_Conducteur,Annees_Experience,Nombre_Accidents,Ratio_Accidents_Experience,Score_Vehicule,Score_Conducteur,Type_Vehicule_Classe,Type_Conducteur_Classe,Assurance_Recommandee
220,Citroën,Voiture de luxe,8,16969,121010,11,False,False,57,11,0,0.0,2.0,3.8,Low Cost,Expert,Tiers Plus
221,Dacia,SUV,12,6578,104632,8,False,False,33,9,0,0.0,1.4,4.0,Low Cost,Expert,Tiers Plus
222,Chevrolet,Sportive,11,13108,171747,10,False,False,74,53,0,0.0,1.4,3.6,Low Cost,Expert,Tiers Plus
223,Ford,Voiture de luxe,8,27653,102777,10,False,False,73,43,0,0.0,2.25,3.6,Medium Cost,Expert,Tout Risque
224,Renault,Break familial,14,12688,341869,8,False,True,37,17,3,0.176,1.5,2.0,Low Cost,À risque,Tiers
225,Ferrari,Voiture de luxe,8,69658,134390,26,True,False,23,4,2,0.5,3.45,1.6,High Cost,À risque,Tiers Plus
226,Bentley,Sportive,4,228913,37967,26,False,False,67,23,1,0.043,3.7,2.8,High Cost,Modéré,Tout Risque
227,Land Rover,Berline compact,13,132094,330482,13,False,True,56,30,0,0.0,2.9,3.4,Medium Cost,Expert,Tout Risque
228,Chevrolet,Berline executive,10,2907,141788,10,True,False,62,15,2,0.133,1.9,2.2,Low Cost,À risque,Tiers
229,Kia,Sportive,11,4108,242893,6,True,True,25,4,0,0.0,1.65,3.6,Low Cost,Expert,Tiers Plus
230,Audi,Berline compact,4,81892,60178,8,True,False,43,10,1,0.1,3.2,3.2,High Cost,Expert,Tout Risque
231,Lamborghini,SUV,1,113500,12514,21,False,False,25,0,0,0.0,3.65,4.0,High Cost,Expert,Tout Risque
232,Jaguar,Voiture populaire,0,256752,0,16,False,False,58,25,0,0.0,3.7,3.8,High Cost,Expert,Tout Risque
233,Ford,Sportive,1,48253,25992,7,True,True,65,12,1,0.083,3.1,2.6,High Cost,Modéré,Tout Risque
234,Peugeot,SUV,12,13268,209570,10,True,True,63,3,1,0.333,1.9,1.0,Low Cost,À risque,Tiers
235,Audi,Voiture populaire,5,39294,104356,14,True,False,28,0,0,0.0,2.8,4.0,Medium Cost,Expert,Tout Risque
236,Chery,SUV,5,16510,108944,11,True,True,24,6,1,0.167,2.1,2.0,Medium Cost,À risque,Tiers
237,Ford,Citadine,11,8866,156922,5,False,False,55,25,1,0.04,1.35,3.0,Low Cost,Modéré,Tiers
238,Toyota,Voiture de luxe,7,24695,154129,9,True,True,20,0,1,1.0,2.2,0.8,Medium Cost,À risque,Tiers
239,Volvo,Voiture de luxe,1,100613,19750,14,True,True,29,4,0,0.0,3.75,3.6,High Cost,Expert,Tout Risque
240,Chery,Voiture populaire,4,11620,67811,6,False,True,65,22,2,0.091,1.65,2.6,Low Cost,Modéré,Tiers
241,Mercedes,Berline compact,1,57610,15347,12,True,False,72,15,1,0.067,3.25,2.8,High Cost,Modéré,Tout Risque
242,Jaguar,SUV,11,59024,210927,18,False,False,30,5,0,0.0,2.5,4.0,Medium Cost,Expert,Tout Risque
243,Land Rover,Citadine,13,77288,142768,15,False,False,46,14,1,0.071,2.65,3.2,Medium Cost,Expert,Tout Risque
244,Land Rover,Berline compact,7,102944,82941,13,True,False,30,3,1,0.333,3.25,1.6,High Cost,À risque,Tiers Plus
245,Toyota,SUV,13,15265,141410,10,False,False,24,6,0,0.0,1.7,4.0,Low Cost,Expert,Tiers Plus
246,BMW,SUV,9,43097,110895,14,True,False,18,0,0,0.0,2.8,3.6,Medium Cost,Expert,Tout Risque
247,Mercedes,Voiture populaire,12,23897,218557,14,True,False,38,8,1,0.125,2.05,2.4,Medium Cost,Modéré,Tiers Plus
248,Infiniti,Berline executive,14,46200,186992,15,False,False,33,0,0,0.0,2.2,4.0,Medium Cost,Expert,Tout Risque
249,Dacia,Voiture de luxe,4,23005,70498,9,False,True,35,3,0,0.0,2.0,3.6,Low Cost,Expert,Tiers Plus
250,Infiniti,Citadine,6,49841,66624,10,False,False,50,20,0,0.0,2.35,4.0,Medium Cost,Expert,Tout Risque
251,Ferrari,Break familial,4,111674,86814,23,False,True,28,9,0,0.0,3.15,3.6,High Cost,Expert,Tout Risque
252,Jaguar,Break familial,12,133680,253604,20,False,True,52,6,1,0.167,2.9,1.8,Medium Cost,À risque,Tiers
253,Jaguar,Voiture populaire,2,221660,24045,20,True,False,56,23,0,0.0,4.0,3.8,High Cost,Expert,Tout Risque
254,Lamborghini,Sportive,2,143890,25323,20,True,False,57,36,2,0.056,4.3,3.0,High Cost,Modéré,Tout Risque
255,Bentley,Berline compact,2,182950,22106,17,True,False,21,0,0,0.0,4.1,3.6,High Cost,Expert,Tout Risque
256,Ford,Voiture de luxe,1,62202,22035,12,True,True,25,5,0,0.0,3.4,3.6,High Cost,Expert,Tout Risque
257,Chevrolet,Berline executive,2,15699,40790,10,False,True,23,1,1,1.0,2.1,1.2,Medium Cost,À risque,Tiers
258,Citroën,Sportive,1,57545,15086,11,False,False,53,4,0,0.0,2.85,3.8,Medium Cost,Expert,Tout Risque
259,Lamborghini,Voiture populaire,14,66009,322812,18,False,True,47,24,2,0.083,2.55,2.8,Medium Cost,Modéré,Tiers Plus
260,Chevrolet,Break familial,11,5621,138723,6,False,False,47,12,0,0.0,1.25,4.0,Low Cost,Expert,Tiers Plus
261,Hyundai,Voiture de luxe,2,33562,24676,8,True,False,38,19,1,0.053,2.85,3.2,Medium Cost,Expert,Tout Risque
262,Lexus,Voiture populaire,1,85398,19353,12,False,False,55,33,0,0.0,3.1,3.8,High Cost,Expert,Tout Risque
263,Land Rover,SUV,3,112907,28390,15,False,False,44,24,1,0.042,3.45,3.2,High Cost,Expert,Tout Risque
264,Kia,Break familial,10,6538,239034,4,False,True,72,5,2,0.4,1.3,0.8,Low Cost,À risque,Tiers
265,Porsche,Berline executive,10,84617,208950,25,True,True,29,0,0,0.0,3.25,3.6,High Cost,Expert,Tout Risque
266,Jaguar,Sportive,1,464728,15772,24,False,False,20,2,0,0.0,4.0,3.6,High Cost,Expert,Tout Risque
267,Kia,Berline compact,8,4109,142962,5,True,True,19,0,0,0.0,1.75,3.2,Low Cost,Expert,Tiers Plus
268,Volkswagen,Sportive,3,48173,62629,8,True,True,71,32,2,0.062,2.85,2.4,Medium Cost,Modéré,Tiers Plus
269,Peugeot,Berline compact,13,9686,151271,9,False,False,52,5,0,0.0,1.5,3.8,Low Cost,Expert,Tiers Plus
270,Toyota,Voiture de luxe,4,27958,36388,10,True,False,62,11,3,0.273,2.85,2.2,Medium Cost,À risque,Tiers
271,Jaguar,Voiture populaire,11,44331,122750,13,False,False,23,4,0,0.0,2.4,4.0,Medium Cost,Expert,Tout Risque
272,Citroën,Citadine,1,25324,21802,7,False,True,22,2,0,0.0,2.5,3.6,Medium Cost,Expert,Tout Risque
273,BMW,Sportive,8,55927,89037,16,True,False,26,6,0,0.0,2.9,4.0,Medium Cost,Expert,Tout Risque
274,Kia,Berline executive,2,14012,29791,9,False,True,24,3,1,0.333,2.2,1.2,Medium Cost,À risque,Tiers
275,Nissan,SUV,3,42436,77881,7,True,True,69,28,1,0.036,2.7,2.4,Medium Cost,Modéré,Tiers Plus
276,BMW,Voiture populaire,11,13244,265938,9,True,True,69,34,0,0.0,2.0,3.2,Low Cost,Expert,Tiers Plus
277,Fiat,Berline executive,11,9494,217575,9,True,True,72,1,0,0.0,1.6,3.2,Low Cost,Expert,Tiers Plus
278,Lamborghini,Break familial,4,247318,56921,16,True,True,73,38,1,0.026,3.8,2.4,High Cost,Modéré,Tout Risque
279,Infiniti,Break familial,12,18869,82321,12,True,False,54,31,0,0.0,2.2,3.8,Medium Cost,Expert,Tout Risque
280,Ferrari,Berline compact,2,330933,23185,16,True,False,72,52,0,0.0,4.1,3.6,High Cost,Expert,Tout Risque
281,Chevrolet,Berline compact,3,17507,73127,6,False,True,52,28,0,0.0,1.75,3.4,Low Cost,Expert,Tiers Plus
282,Kia,Citadine,5,13476,93543,4,True,True,58,16,1,0.062,1.8,2.6,Low Cost,Modéré,Tiers
283,Toyota,Break familial,8,7717,178060,8,False,True,50,9,2,0.222,1.7,2.0,Low Cost,À risque,Tiers
284,Chery,SUV,11,7054,257114,10,True,True,25,2,0,0.0,1.6,3.6,Low Cost,Expert,Tiers Plus
285,Bentley,Voiture de luxe,0,399572,0,27,True,True,36,4,1,0.25,4.3,2.0,High Cost,À risque,Tiers Plus
286,Mercedes,Sportive,0,162006,0,14,False,True,18,0,0,0.0,3.7,3.2,High Cost,Expert,Tout Risque
287,BMW,Break familial,7,49005,45715,11,True,False,48,13,3,0.231,2.75,2.4,Medium Cost,Modéré,Tiers Plus
288,BMW,Citadine,3,45477,51813,11,True,False,22,4,1,0.25,2.85,2.4,Medium Cost,Modéré,Tiers Plus
289,Nissan,Voiture de luxe,7,19889,53124,10,True,False,57,24,3,0.125,2.4,2.2,Medium Cost,À risque,Tiers
290,Maserati,Sportive,14,79671,230555,15,True,True,58,40,3,0.075,3.15,2.6,High Cost,Modéré,Tout Risque
291,Ford,Berline compact,6,16899,87020,6,True,True,53,11,0,0.0,2.05,3.4,Medium Cost,Expert,Tout Risque
292,Citroën,Berline executive,1,26721,14712,11,False,False,32,0,1,1.0,2.75,1.6,Medium Cost,À risque,Tiers
293,BMW,Voiture de luxe,6,63503,90840,13,True,True,42,17,2,0.118,3.15,2.0,High Cost,À risque,Tiers Plus
294,Jaguar,Break familial,13,122787,248405,14,False,False,73,20,0,0.0,2.9,3.6,Medium Cost,Expert,Tout Risque
295,Peugeot,Voiture de luxe,13,12718,260881,9,False,False,30,4,2,0.5,1.7,1.6,Low Cost,À risque,Tiers
296,Nissan,Voiture de luxe,13,14041,231662,12,True,False,39,10,0,0.0,2.0,4.0,Low Cost,Expert,Tiers Plus
297,Audi,Berline executive,11,40457,74096,14,False,False,44,17,0,0.0,2.4,4.0,Medium Cost,Expert,Tout Risque
298,Chevrolet,Sportive,2,20925,31616,8,True,True,54,32,1,0.031,2.5,2.6,Medium Cost,Modéré,Tiers Plus
299,Hyundai,Voiture populaire,14,2211,213796,7,False,True,61,24,1,0.042,1.05,2.6,Low Cost,Modéré,Tiers
300,Bentley,Berline executive,14,130905,223022,23,True,True,20,0,0,0.0,3.3,3.2,High Cost,Expert,Tout Risque
301,Infiniti,Berline executive,2,97489,28356,12,True,False,63,38,1,0.026,3.6,3.0,High Cost,Modéré,Tout Risque
302,Toyota,Voiture de luxe,1,74633,13521,11,True,False,71,11,1,0.091,3.4,2.8,High Cost,Modéré,Tout Risque
303,Porsche,SUV,13,122546,298929,18,False,True,33,2,1,0.5,3.0,1.2,High Cost,À risque,Tiers Plus
304,Infiniti,Break familial,5,47810,108797,11,True,False,21,3,1,0.333,2.85,1.2,Medium Cost,À risque,Tiers
305,Peugeot,Voiture populaire,5,8439,65118,9,False,False,56,20,0,0.0,2.0,3.8,Medium Cost,Expert,Tout Risque
306,Kia,SUV,13,7880,176729,8,True,False,21,0,0,0.0,1.6,3.6,Low Cost,Expert,Tiers Plus
307,Lexus,Citadine,7,32693,106747,9,False,True,21,3,1,0.333,2.25,0.8,Medium Cost,À risque,Tiers
308,Chery,SUV,1,21710,14851,10,False,False,63,18,0,0.0,2.2,3.8,Medium Cost,Expert,Tout Risque
309,Toyota,Citadine,12,11630,275413,6,True,True,48,3,0,0.0,1.65,3.6,Low Cost,Expert,Tiers Plus
310,Infiniti,Voiture de luxe,12,36426,189233,16,True,True,35,16,1,0.062,2.6,2.8,Medium Cost,Modéré,Tiers Plus
311,Bentley,Citadine,10,99381,231990,20,True,True,62,32,0,0.0,3.05,3.4,High Cost,Expert,Tout Risque
312,Nissan,Voiture de luxe,3,56315,31378,12,False,False,43,15,0,0.0,2.55,4.0,Medium Cost,Expert,Tout Risque
313,Chery,Berline executive,3,7234,31405,11,False,False,71,44,1,0.023,1.9,2.8,Low Cost,Modéré,Tiers
314,Ferrari,Voiture populaire,10,25715,175847,16,True,True,52,25,2,0.08,2.8,2.6,Medium Cost,Modéré,Tiers Plus
315,Chery,Citadine,12,4277,149673,7,True,False,22,3,0,0.0,1.45,4.0,Low Cost,Expert,Tiers Plus
316,BMW,Voiture de luxe,3,126485,31673,12,False,False,53,5,0,0.0,3.35,3.8,High Cost,Expert,Tout Risque
317,Audi,SUV,13,41295,277195,13,True,True,41,3,0,0.0,2.5,3.6,Medium Cost,Expert,Tout Risque
318,Toyota,Voiture de luxe,7,18503,52153,12,True,False,45,13,0,0.0,2.4,4.0,Medium Cost,Expert,Tout Risque
319,Land Rover,Sportive,5,161659,95733,22,False,True,26,3,0,0.0,3.6,3.6,High Cost,Expert,Tout Risque
320,Peugeot,Voiture de luxe,3,36848,64309,9,True,True,67,32,1,0.031,2.85,2.4,Medium Cost,Modéré,Tiers Plus
321,Renault,SUV,5,44992,123990,10,True,True,32,6,0,0.0,2.65,3.6,Medium Cost,Expert,Tout Risque
322,Ferrari,SUV,9,162531,93906,22,False,False,35,4,1,0.25,3.3,2.4,High Cost,Modéré,Tout Risque
323,Kia,Citadine,9,7191,80550,5,False,False,29,8,0,0.0,1.35,4.0,Low Cost,Expert,Tiers Plus
324,Chery,Berline compact,0,17357,0,6,False,True,74,6,1,0.167,2.05,1.6,Medium Cost,À risque,Tiers
325,Volvo,Berline executive,0,114680,0,12,True,False,56,21,1,0.048,3.6,3.0,High Cost,Modéré,Tout Risque
326,Bentley,Citadine,1,282566,14980,17,False,True,27,4,0,0.0,3.7,3.6,High Cost,Expert,Tout Risque
327,BMW,Voiture populaire,5,57203,90865,9,False,False,68,38,1,0.026,2.45,2.8,Medium Cost,Modéré,Tiers Plus
328,Infiniti,Voiture de luxe,7,84545,85222,13,False,False,68,48,0,0.0,2.85,3.6,Medium Cost,Expert,Tout Risque
329,Kia,Voiture de luxe,6,19171,103027,9,True,False,32,7,0,0.0,2.0,4.0,Low Cost,Expert,Tiers Plus
330,Chery,Sportive,14,5634,343769,9,False,True,58,39,3,0.077,1.4,2.6,Low Cost,Modéré,Tiers
331,Audi,Voiture populaire,9,17716,126069,13,True,False,61,32,0,0.0,2.35,3.8,Medium Cost,Expert,Tout Risque
332,Infiniti,Voiture de luxe,2,96141,19812,12,True,False,36,4,2,0.5,3.7,1.6,High Cost,À risque,Tiers Plus
333,Volkswagen,Berline executive,7,23657,52246,10,True,False,38,7,1,0.143,2.3,2.4,Medium Cost,Modéré,Tiers Plus
334,Ferrari,Berline compact,14,83180,228901,19,True,True,37,5,1,0.2,2.95,2.0,Medium Cost,À risque,Tiers
335,Volvo,Break familial,6,36359,77842,10,False,False,57,37,0,0.0,2.45,3.8,Medium Cost,Expert,Tout Risque
336,Bentley,Berline compact,0,411836,0,19,True,True,65,42,0,0.0,4.1,3.4,High Cost,Expert,Tout Risque
337,Chevrolet,SUV,13,9800,277986,7,True,True,63,15,3,0.2,1.55,1.8,Low Cost,À risque,Tiers
338,Porsche,Berline compact,12,105320,309711,16,True,True,51,3,2,0.667,2.95,1.0,Medium Cost,À risque,Tiers
339,Ferrari,Sportive,9,126321,88085,24,False,False,50,3,1,0.333,3.4,1.6,High Cost,À risque,Tiers Plus
340,Land Rover,Berline executive,1,177064,16517,20,False,True,46,8,1,0.125,3.9,2.0,High Cost,À risque,Tiers Plus
341,BMW,Voiture populaire,1,62543,10525,8,False,False,64,43,0,0.0,3.1,3.8,High Cost,Expert,Tout Risque
342,Jaguar,SUV,4,338042,68207,21,False,True,47,25,0,0.0,3.6,3.6,High Cost,Expert,Tout Risque
343,Toyota,Voiture populaire,11,8611,136000,9,False,False,51,17,1,0.059,1.5,3.0,Low Cost,Modéré,Tiers
344,BMW,Citadine,8,33804,103421,8,True,False,28,10,1,0.1,2.55,3.2,Medium Cost,Expert,Tout Risque
345,Volkswagen,Voiture populaire,3,28896,35271,7,True,False,45,14,0,0.0,2.5,4.0,Medium Cost,Expert,Tout Risque
346,BMW,Citadine,8,33693,174907,8,False,True,40,2,0,0.0,2.15,3.6,Medium Cost,Expert,Tout Risque
347,Ford,Sportive,8,27217,132690,13,True,True,70,45,1,0.022,2.6,2.4,Medium Cost,Modéré,Tiers Plus
348,BMW,Voiture populaire,3,69553,73363,14,False,True,30,1,0,0.0,2.85,3.6,Medium Cost,Expert,Tout Risque
349,Volvo,Berline compact,5,36130,110243,14,True,True,51,13,2,0.154,2.9,1.8,Medium Cost,À risque,Tiers
350,Maserati,Sportive,7,240778,108823,17,False,True,37,16,0,0.0,3.4,3.6,High Cost,Expert,Tout Risque
351,Toyota,Berline executive,7,33221,74100,9,False,False,20,1,0,0.0,2.25,3.6,Medium Cost,Expert,Tout Risque
352,Audi,Berline executive,11,26556,114967,16,True,False,72,18,2,0.111,2.6,2.0,Medium Cost,À risque,Tiers
353,Hyundai,Berline executive,13,4795,102230,8,True,False,50,24,2,0.083,1.7,3.2,Low Cost,Expert,Tiers Plus
354,Volkswagen,SUV,4,48728,38620,9,True,False,25,1,0,0.0,2.75,4.0,Medium Cost,Expert,Tout Risque
355,Hyundai,Berline compact,13,8270,191752,7,False,False,65,29,0,0.0,1.15,3.8,Low Cost,Expert,Tiers Plus
356,Jaguar,Voiture de luxe,10,120345,259452,15,True,True,22,3,0,0.0,3.6,3.6,High Cost,Expert,Tout Risque
357,Volkswagen,Voiture de luxe,11,25537,169171,11,False,True,21,2,1,0.5,1.95,0.8,Low Cost,À risque,Tiers
358,Land Rover,Voiture populaire,7,83828,87889,18,False,False,29,5,0,0.0,2.85,4.0,Medium Cost,Expert,Tout Risque
359,Dacia,Berline executive,14,4108,219103,8,False,True,39,7,2,0.286,1.3,2.0,Low Cost,À risque,Tiers
360,Renault,Berline executive,5,21035,105501,13,False,True,24,3,0,0.0,2.15,3.6,Medium Cost,Expert,Tout Risque
361,Peugeot,Berline compact,5,28410,117205,7,True,True,19,1,0,0.0,2.5,3.2,Medium Cost,Expert,Tout Risque
362,Volkswagen,Voiture populaire,6,7333,92193,5,True,False,29,5,0,0.0,1.95,4.0,Low Cost,Expert,Tiers Plus
363,Ferrari,Berline compact,7,193490,118063,21,False,True,46,12,0,0.0,3.2,3.6,High Cost,Expert,Tout Risque
364,Chery,Berline compact,7,5381,86080,6,True,False,30,12,0,0.0,1.75,4.0,Low Cost,Expert,Tiers Plus
365,Fiat,Voiture de luxe,13,6688,189721,7,False,True,38,20,1,0.05,1.35,2.8,Low Cost,Modéré,Tiers
366,BMW,SUV,13,25668,243900,16,False,True,41,4,0,0.0,2.2,3.6,Medium Cost,Expert,Tout Risque
367,Lexus,Break familial,0,96730,0,14,False,False,56,12,1,0.083,3.25,3.0,High Cost,Modéré,Tout Risque
368,Renault,Berline executive,13,13032,181533,11,False,False,36,11,2,0.182,1.6,2.4,Low Cost,Modéré,Tiers
369,Ferrari,SUV,12,127832,193446,14,False,False,45,25,1,0.04,3.0,3.2,High Cost,Expert,Tout Risque
370,Chery,Break familial,8,9849,83964,7,True,False,66,46,2,0.043,1.75,2.8,Low Cost,Modéré,Tiers
371,Fiat,Sportive,1,30966,15373,7,False,True,54,18,1,0.056,2.5,2.6,Medium Cost,Modéré,Tiers Plus
372,Maserati,Voiture populaire,7,80602,161098,12,False,True,68,14,1,0.071,2.7,2.4,Medium Cost,Modéré,Tiers Plus
373,Ferrari,Berline compact,1,376918,16260,13,False,False,30,9,0,0.0,3.8,4.0,High Cost,Expert,Tout Risque
374,Volvo,Berline compact,2,49466,49918,8,False,True,20,1,0,0.0,2.85,3.2,Medium Cost,Expert,Tout Risque
375,Peugeot,Sportive,1,32419,20359,10,False,True,34,8,0,0.0,2.85,3.6,Medium Cost,Expert,Tout Risque
376,Audi,Citadine,2,31971,18748,14,False,False,38,16,0,0.0,2.9,4.0,Medium Cost,Expert,Tout Risque
377,Peugeot,Voiture de luxe,8,25564,133512,10,True,False,35,3,1,0.333,2.55,1.6,Medium Cost,À risque,Tiers
378,Peugeot,Citadine,6,18023,123062,6,False,True,61,33,0,0.0,1.65,3.4,Low Cost,Expert,Tiers Plus
379,Maserati,Berline executive,2,128943,48581,24,True,True,28,9,0,0.0,4.1,3.6,High Cost,Expert,Tout Risque
380,Fiat,SUV,5,14398,112335,7,False,True,45,4,1,0.25,1.75,2.0,Low Cost,À risque,Tiers
381,Ferrari,Sportive,4,143016,98724,16,False,True,46,9,1,0.111,3.6,2.0,High Cost,À risque,Tiers Plus
382,Hyundai,Citadine,11,4002,154885,5,False,True,66,48,1,0.021,1.05,2.4,Low Cost,Modéré,Tiers
383,Chevrolet,Voiture de luxe,4,17908,64160,9,True,False,21,0,0,0.0,2.3,3.6,Medium Cost,Expert,Tout Risque
384,Peugeot,SUV,4,51014,66967,11,True,True,21,1,0,0.0,2.75,3.2,Medium Cost,Expert,Tout Risque
385,Peugeot,Voiture de luxe,5,31021,125538,10,False,True,23,2,0,0.0,2.45,3.6,Medium Cost,Expert,Tout Risque
386,Kia,Sportive,4,9844,69883,10,True,True,59,36,0,0.0,2.3,3.4,Medium Cost,Expert,Tout Risque
387,Maserati,Berline compact,5,73051,83897,12,False,False,64,16,0,0.0,3.1,3.8,High Cost,Expert,Tout Risque
388,Dacia,Berline executive,5,14933,53152,5,True,False,39,20,2,0.1,2.15,3.2,Medium Cost,Expert,Tout Risque
389,Chery,Voiture populaire,2,8821,36548,4,False,True,68,48,1,0.021,1.8,2.4,Low Cost,Modéré,Tiers
390,Volvo,Citadine,14,21941,191765,14,False,False,18,0,0,0.0,1.75,3.6,Low Cost,Expert,Tiers Plus
391,Fiat,Voiture de luxe,7,7777,99563,8,False,False,34,2,1,0.5,1.7,1.6,Low Cost,À risque,Tiers
392,Bentley,Citadine,7,107265,125369,19,False,True,54,20,0,0.0,2.85,3.4,Medium Cost,Expert,Tout Risque
393,Toyota,Break familial,4,16290,52338,7,True,False,44,20,1,0.05,2.35,3.2,Medium Cost,Expert,Tout Risque
394,Chevrolet,Citadine,5,11818,81468,7,False,False,56,27,0,0.0,1.55,3.8,Low Cost,Expert,Tiers Plus
395,Jaguar,Berline compact,7,193185,92341,23,False,False,68,18,1,0.056,3.2,2.8,High Cost,Modéré,Tout Risque
396,Jaguar,Berline compact,11,90583,217809,17,True,True,53,10,0,0.0,2.95,3.4,Medium Cost,Expert,Tout Risque
397,Maserati,Sportive,7,189281,92398,24,True,False,68,13,0,0.0,3.7,3.6,High Cost,Expert,Tout Risque
398,Renault,Citadine,11,12669,263232,8,True,True,52,8,0,0.0,1.7,3.4,Low Cost,Expert,Tiers Plus
399,Ford,SUV,12,21177,179654,11,False,False,22,4,2,0.5,1.6,1.6,Low Cost,À risque,Tiers
400,Citroën,Citadine,12,4520,147392,9,True,False,20,1,0,0.0,1.8,3.6,Low Cost,Expert,Tiers Plus
401,Toyota,Citadine,13,7126,223812,5,False,False,73,29,3,0.103,1.35,2.0,Low Cost,À risque,Tiers
402,Kia,Berline executive,14,3440,205652,6,False,False,47,6,0,0.0,1.25,4.0,Low Cost,Expert,Tiers Plus
403,Bentley,Sportive,3,396554,56097,18,False,False,22,3,1,0.333,3.7,1.6,High Cost,À risque,Tiers Plus
404,Chery,Sportive,14,3937,264122,6,False,False,21,1,0,0.0,1.35,3.6,Low Cost,Expert,Tiers Plus
405,Lamborghini,SUV,10,158094,88068,25,True,False,51,18,1,0.056,3.6,3.0,High Cost,Modéré,Tout Risque
406,Hyundai,Voiture de luxe,1,11189,8771,7,True,False,19,1,0,0.0,2.55,3.6,Medium Cost,Expert,Tout Risque
407,Ford,Voiture populaire,14,12636,172420,7,True,False,31,7,0,0.0,1.65,4.0,Low Cost,Expert,Tiers Plus
408,Land Rover,SUV,10,105465,86309,20,False,False,47,20,0,0.0,3.05,4.0,High Cost,Expert,Tout Risque
409,Porsche,Voiture de luxe,2,497366,25210,21,True,False,40,9,0,0.0,4.3,4.0,High Cost,Expert,Tout Risque
410,Toyota,Sportive,7,24686,102625,9,True,False,63,23,0,0.0,2.3,3.8,Medium Cost,Expert,Tout Risque
411,Porsche,Voiture de luxe,13,159953,263146,28,False,True,35,11,0,0.0,3.1,3.6,High Cost,Expert,Tout Risque
412,Hyundai,Voiture de luxe,13,3692,319590,8,False,True,29,0,0,0.0,1.4,3.6,Low Cost,Expert,Tiers Plus
413,Dacia,Berline compact,14,2501,227758,7,False,True,49,21,1,0.048,1.15,2.8,Low Cost,Modéré,Tiers
414,Chevrolet,Voiture populaire,6,12154,81351,7,True,False,46,27,0,0.0,1.65,4.0,Low Cost,Expert,Tiers Plus
415,Toyota,Voiture de luxe,0,82325,0,9,True,True,21,3,2,0.667,3.4,0.8,High Cost,À risque,Tiers Plus
416,Land Rover,Sportive,2,148201,30745,23,False,False,40,0,1,1.0,3.9,1.6,High Cost,À risque,Tiers Plus
417,BMW,Voiture populaire,8,19006,84530,14,True,False,60,12,0,0.0,2.35,3.8,Medium Cost,Expert,Tout Risque
418,Nissan,Berline executive,7,32524,161927,9,False,True,26,4,0,0.0,2.05,3.6,Medium Cost,Expert,Tout Risque
419,Kia,Citadine,2,12619,21053,7,True,False,56,27,2,0.074,2.25,3.0,Medium Cost,Modéré,Tiers Plus
420,Volvo,Voiture de luxe,2,94983,20760,17,True,False,24,0,0,0.0,3.75,4.0,High Cost,Expert,Tout Risque
421,Ferrari,SUV,4,271480,95464,15,False,True,28,5,1,0.2,3.5,2.0,High Cost,À risque,Tiers Plus
422,Porsche,SUV,0,125813,0,20,False,True,26,7,2,0.286,3.9,2.0,High Cost,À risque,Tiers Plus
423,Kia,Berline compact,3,6436,41051,6,True,False,45,7,0,0.0,2.05,4.0,Medium Cost,Expert,Tout Risque
424,Chery,Sportive,0,12439,0,7,True,False,71,53,1,0.019,2.55,2.8,Medium Cost,Modéré,Tiers Plus
425,Land Rover,Berline executive,11,153261,110153,26,True,False,19,1,0,0.0,3.4,3.6,High Cost,Expert,Tout Risque
426,Volkswagen,Berline compact,13,17631,157098,5,True,False,69,23,1,0.043,1.75,2.8,Low Cost,Modéré,Tiers
427,Volvo,Break familial,8,29083,204495,11,True,True,18,0,0,0.0,2.55,3.2,Medium Cost,Expert,Tout Risque
428,Lamborghini,Berline compact,11,132409,97661,23,True,False,44,21,0,0.0,3.3,4.0,High Cost,Expert,Tout Risque
429,Dacia,Berline executive,10,6520,108873,10,False,False,49,20,0,0.0,1.6,4.0,Low Cost,Expert,Tiers Plus
430,Lamborghini,Berline compact,6,166956,121293,15,True,True,29,10,1,0.1,3.5,2.8,High Cost,Modéré,Tout Risque
431,Volkswagen,Voiture de luxe,12,23980,257237,9,False,False,40,7,0,0.0,1.7,4.0,Low Cost,Expert,Tiers Plus
432,Ferrari,Voiture de luxe,10,74604,176349,16,True,True,51,33,0,0.0,3.35,3.4,High Cost,Expert,Tout Risque
433,Ford,Voiture populaire,14,14256,132755,8,False,False,26,6,1,0.167,1.5,2.4,Low Cost,Modéré,Tiers
434,Land Rover,Berline executive,3,205883,61601,26,True,True,43,11,1,0.091,3.9,2.8,High Cost,Modéré,Tout Risque
435,Ferrari,Berline compact,8,73243,171751,21,False,True,36,10,2,0.2,2.85,2.0,Medium Cost,À risque,Tiers
436,Kia,Berline compact,7,10041,151420,6,False,True,18,0,0,0.0,1.35,3.2,Low Cost,Expert,Tiers Plus
437,Chery,Berline executive,3,8056,38726,7,True,False,63,25,0,0.0,2.15,3.8,Medium Cost,Expert,Tout Risque
438,Volvo,SUV,4,109053,43493,15,True,False,44,1,0,0.0,3.35,4.0,High Cost,Expert,Tout Risque
439,Renault,SUV,12,15618,268108,9,True,False,30,2,0,0.0,1.9,4.0,Low Cost,Expert,Tiers Plus
